"Accuracy","Precision","Recall","F1_Score","AUC_ROC","AUC_PR","classifier","dataset","model","method"
0.96401028277635,0.986522911051213,0.940874035989717,0.963157894736842,0.975813006786897,0.927349085160494,"Logistic Regression","book","Deepseek","CS (('0.4', '5'))"
0.970437017994859,0.984126984126984,0.956298200514139,0.970013037809648,0.992406870163427,0.990953083741142,"Naive Bayes","book","Deepseek","CS (('0.4', '5'))"
0.90125,0.921259842519685,0.8775,0.898847631241997,0.950675,0.928367770098166,"Random Forest","wikinews","Deepseek","CS (('0.4', '5'))"
0.84875,0.945686900958467,0.74,0.830294530154278,0.861875,0.730264779950328,"Logistic Regression","wikinews","Deepseek","CS (('0.4', '5'))"
0.86,0.970588235294118,0.7425,0.841359773371105,0.94385,0.922260568503232,"Naive Bayes","wikinews","Deepseek","CS (('0.4', '5'))"
0.990458015267176,1,0.980916030534351,0.990366088631985,0.999686789814113,0.99968165975705,"Random Forest","wikitext","Deepseek","CS (('0.4', '5'))"
0.990458015267176,1,0.980916030534351,0.990366088631985,0.999650370025057,0.999641050349186,"Logistic Regression","wikitext","Deepseek","CS (('0.4', '5'))"
0.986641221374046,0.992277992277992,0.980916030534351,0.986564299424184,0.999227900472,0.999230450650411,"Naive Bayes","wikitext","Deepseek","CS (('0.4', '5'))"
0.992287917737789,0.997402597402597,0.987146529562982,0.992248062015504,0.999375499765399,0.999357257926974,"Random Forest","book","Deepseek","CS (('0.4', '1'))"
0.987146529562982,0.997375328083989,0.976863753213368,0.987012987012987,0.99921359229717,0.999197640068639,"Logistic Regression","book","Deepseek","CS (('0.4', '1'))"
0.989717223650386,0.997389033942559,0.982005141388175,0.989637305699482,0.999491147956992,0.999486525633086,"Naive Bayes","book","Deepseek","CS (('0.4', '1'))"
0.97375,0.982188295165394,0.965,0.973518284993695,0.99655625,0.994719939880269,"Random Forest","wikinews","Deepseek","CS (('0.4', '1'))"
0.97,0.982051282051282,0.9575,0.969620253164557,0.9934375,0.984741372547878,"Logistic Regression","wikinews","Deepseek","CS (('0.4', '1'))"
0.975,0.987179487179487,0.9625,0.974683544303798,0.9980375,0.998049827849688,"Naive Bayes","wikinews","Deepseek","CS (('0.4', '1'))"
0.99236641221374,0.988636363636364,0.99618320610687,0.992395437262357,0.999927160421887,0.99992746167456,"Random Forest","wikitext","Deepseek","CS (('0.4', '1'))"
0.998091603053435,1,0.99618320610687,0.998087954110899,0.999941728337509,0.999941503929472,"Logistic Regression","wikitext","Deepseek","CS (('0.4', '1'))"
0.998091603053435,0.996197718631179,1,0.998095238095238,0.999970864168755,0.999971029992606,"Naive Bayes","wikitext","Deepseek","CS (('0.4', '1'))"
0.893316195372751,0.902631578947368,0.881748071979435,0.892067620286086,0.945546222930063,0.939506023676128,"Random Forest","book","Deepseek","CS (('0.4', '50'))"
0.672236503856041,0.703030303030303,0.596401028277635,0.645340751043116,0.667177721532372,0.544512095269562,"Logistic Regression","book","Deepseek","CS (('0.4', '50'))"
0.805912596401028,0.902027027027027,0.686375321336761,0.77956204379562,0.887015021047971,0.864008188952181,"Naive Bayes","book","Deepseek","CS (('0.4', '50'))"
0.9875,0.99492385786802,0.98,0.987405541561713,0.99976875,0.999770976326057,"Random Forest","wikinews","Deepseek","CS (('0.4', '50'))"
0.985,1,0.97,0.984771573604061,0.990675,0.97784942893824,"Logistic Regression","wikinews","Deepseek","CS (('0.4', '50'))"
0.985,0.997435897435897,0.9725,0.984810126582279,0.992525,0.982185923812978,"Naive Bayes","wikinews","Deepseek","CS (('0.4', '50'))"
0.954198473282443,0.968503937007874,0.938931297709924,0.953488372093023,0.973500961482431,0.97268939291951,"Random Forest","wikitext","Deepseek","CS (('0.4', '50'))"
0.694656488549618,0.738317757009346,0.603053435114504,0.663865546218487,0.690490064681545,0.567945525233314,"Logistic Regression","wikitext","Deepseek","CS (('0.4', '50'))"
0.706106870229008,0.885714285714286,0.473282442748092,0.616915422885572,0.865436163393742,0.883201778375704,"Naive Bayes","wikitext","Deepseek","CS (('0.4', '50'))"
1,1,1,1,1,1,"Random Forest","book","Deepseek","CS (('0.6', '15'))"
1,1,1,1,1,1,"Logistic Regression","book","Deepseek","CS (('0.6', '15'))"
1,1,1,1,1,1,"Naive Bayes","book","Deepseek","CS (('0.6', '15'))"
0.97125,0.972431077694236,0.97,0.971214017521902,0.977571875,0.974484812968415,"Random Forest","wikinews","Deepseek","CS (('0.6', '15'))"
0.89125,0.848552338530067,0.9525,0.897526501766785,0.95951875,0.9147253023081,"Logistic Regression","wikinews","Deepseek","CS (('0.6', '15'))"
0.8275,0.917197452229299,0.72,0.80672268907563,0.94654375,0.918241433589768,"Naive Bayes","wikinews","Deepseek","CS (('0.6', '15'))"
0.809160305343511,0.826612903225806,0.782442748091603,0.803921568627451,0.88401753977041,0.861677381324533,"Random Forest","wikitext","Deepseek","CS (('0.6', '15'))"
0.574427480916031,0.581589958158996,0.530534351145038,0.554890219560878,0.588558359069984,0.50613526827423,"Logistic Regression","wikitext","Deepseek","CS (('0.6', '15'))"
0.662213740458015,0.819548872180451,0.416030534351145,0.551898734177215,0.797156342870462,0.804346827436375,"Naive Bayes","wikitext","Deepseek","CS (('0.6', '15'))"
0.939588688946015,0.938461538461538,0.940874035989717,0.939666238767651,0.976764626192002,0.971230045984856,"Random Forest","book","Deepseek","CS (('0.6', '5'))"
0.880462724935733,0.951219512195122,0.802056555269923,0.870292887029289,0.887656042452799,0.766536204813817,"Logistic Regression","book","Deepseek","CS (('0.6', '5'))"
0.894601542416452,0.960960960960961,0.822622107969152,0.886426592797784,0.951440976467245,0.940816274025762,"Naive Bayes","book","Deepseek","CS (('0.6', '5'))"
0.93,0.936548223350254,0.9225,0.929471032745592,0.96509375,0.941119367591205,"Random Forest","wikinews","Deepseek","CS (('0.6', '5'))"
0.9225,0.944736842105263,0.8975,0.920512820512821,0.9640125,0.939336460162021,"Logistic Regression","wikinews","Deepseek","CS (('0.6', '5'))"
0.92125,0.944591029023747,0.895,0.919127086007702,0.96769375,0.949024917622472,"Naive Bayes","wikinews","Deepseek","CS (('0.6', '5'))"
0.912213740458015,0.894160583941606,0.935114503816794,0.914179104477612,0.965656138919643,0.964729220815955,"Random Forest","wikitext","Deepseek","CS (('0.6', '5'))"
0.889312977099237,0.895348837209302,0.881679389312977,0.888461538461539,0.943199696987355,0.89898514835178,"Logistic Regression","wikitext","Deepseek","CS (('0.6', '5'))"
0.845419847328244,0.91705069124424,0.759541984732824,0.830897703549061,0.938494260241245,0.933329224225448,"Naive Bayes","wikitext","Deepseek","CS (('0.6', '5'))"
